,과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역
273,영어와비판적사고,0APR1195,31,2.0,권설녀,"월5, 수14",기초교양, 
274,영어와비판적사고,0APR1195,33,2.0,이영경,"화13, 수4",기초교양, 
275,영어와비판적사고,0APR1195,34,2.0,박미경,"수4, 수13",기초교양, 
276,영어와비판적사고,0APR1195,12,2.0,전하영,"화1, 금14",기초교양, 
277,영어와비판적사고,0APR1195,13,2.0,전하영,"월2, 목14",기초교양, 
278,영어와비판적사고,0APR1195,14,2.0,민주영,"화3, 수14",기초교양, 
279,영어와비판적사고,0APR1195,15,2.0,민주영,"화4, 화12",기초교양, 
280,영어와비판적사고,0APR1195,16,2.0,최선령,"월14, 화6",기초교양, 
281,영어와비판적사고,0APR1195,17,2.0,김혜경,"월5, 월13",기초교양, 
282,영어와비판적사고,0APR1195,18,2.0,민주영,"화13, 목5",기초교양, 
283,영어와비판적사고,0APR1195,19,2.0,민주영,"수13, 목6",기초교양, 
284,영어와비판적사고,0APR1195,20,2.0,박영주,"목3, 목13",기초교양, 
285,영어와비판적사고,0APR1195,21,2.0,전하영,"월4, 금13",기초교양, 
286,영어와비판적사고,0APR1195,22,2.0,최선령,"수1, 금15",기초교양, 
287,영어와비판적사고,0APR1195,23,2.0,전하영,"수1, 목15",기초교양, 
288,영어와비판적사고,0APR1195,24,2.0,민주영,"월3, 수15",기초교양, 
289,영어와비판적사고,0APR1195,25,2.0,최선령,"화15, 목1",기초교양, 
290,영어와비판적사고,0APR1195,26,2.0,최선령,"월15, 수3",기초교양, 
291,영어와비판적사고,0APR1195,27,2.0,최선령,"화5, 금14",기초교양, 
292,영어와비판적사고,0APR1195,28,2.0,김혜경,"월14, 수3",기초교양, 
293,영어와비판적사고,0APR1195,29,2.0,전하영,"화14, 수5",기초교양, 
294,영어와비판적사고,0APR1195,32,2.0,오복남,"월13, 화5",기초교양, 
295,영어와비판적사고,0APR1195,35,2.0,최선령,"목3, 목13",기초교양, 
296,영어와비판적사고,0APR1195,36,2.0,김혜경,"월4, 금13",기초교양, 
297,대학영어회화1,0APR1171,1,2.0,이혜빈,월1~2,기초교양, 
298,대학영어회화1,0APR1171,2,2.0,데렉 존 토마스,월1~2,기초교양, 
299,대학영어회화1,0APR1171,3,2.0,데이비드 데보라,월5~6,기초교양, 
300,대학영어회화1,0APR1171,4,2.0,이혜빈,월5~6,기초교양, 
301,대학영어회화1,0APR1171,5,2.0,지맥심,월5~6,기초교양, 
302,대학영어회화1,0APR1171,6,2.0,스테판,월5~6,기초교양, 
303,대학영어회화1,0APR1171,7,2.0,허친슨,월5~6,기초교양, 
304,대학영어회화1,0APR1171,8,2.0,데렉 존 토마스,월7~8,기초교양, 
305,대학영어회화1,0APR1171,9,2.0,지맥심,월7~8,기초교양, 
306,대학영어회화1,0APR1171,10,2.0,캐스퍼,월7~8,기초교양, 
307,대학영어회화1,0APR1171,11,2.0,로나 워싱턴,월7~8,기초교양, 
308,대학영어회화1,0APR1171,12,2.0,알렉산더,화5~6,기초교양, 
309,대학영어회화1,0APR1171,13,2.0,이혜빈,화5~6,기초교양, 
310,대학영어회화1,0APR1171,14,2.0,데렉 존 토마스,화5~6,기초교양, 
311,대학영어회화1,0APR1171,15,2.0,지맥심,화5~6,기초교양, 
312,대학영어회화1,0APR1171,16,2.0,로나 워싱턴,화5~6,기초교양, 
313,대학영어회화1,0APR1171,17,2.0,아산티 매튜,화5~6,기초교양, 
